category_name_en,category_name_clean
health beauty,Health & Beauty
sports leisure,Sports & Leisure
computers accessories,Computers & Accessories
bed bath table,"Bed, Bath & Table"
furniture decor,Furniture & Decor
watches gifts,Watches & Gifts
fashion bags accessories,Fashion: Bags & Accessories
fashion shoes,Fashion: Shoes
fashion male clothing,Fashion: Men's Clothing
fashio female clothing,Fashion: Women's Clothing
fashion underwear beach,Fashion: Underwear & Beachwear
consoles games,Consoles & Games
costruction tools garden,Construction Tools: Garden
costruction tools tools,Construction Tools: General
home confort,Home Comfort
market place,Marketplace
food drink,Food & Drink
unknown,Unknown
